predicate,arg1,arg2,arg3,label
IsA,TheWorld,World,,world_root
HasA,TheWorld,ManaField,,mana_field
Axiom,ManaExists,,,
Axiom,ManaRespondsToIntent,,,
Axiom,ManaRespondsToPatterns,,,
Axiom,MagicRequiresMana,,,
Axiom,SkillsImproveWithPractice,,,
Axiom,OutsidersAppearInThisWorld,,,
Axiom,TheWorldProvidesGuidesForOutsiders,,,
Causes,OutsiderArrival,GuideAppears,,
LeadsTo,GuidanceComplete,GuideDeparts,,
IsA,Human,Species,,
IsA,Spirit,Species,,
IsA,Wolf,Creature,,
IsA,Goblin,Creature,,
IsA,Guide,Role,,
IsA,Spell,Ability,,
IsA,Skill,Ability,,
IsA,Mana,Resource,,
IsA,SparkIgnition,Spell,,
ManaCost,SparkIgnition,LowMana,,
SpellEffect,SparkIgnition,SmallFlame,,
IsA,ForestClearing,Place,,place
IsA,WhisperingForest,Place,,place
IsA,StoneRoad,Place,,place
IsA,OldRuins,Place,,place
IsA,MossyHill,Place,,place
IsA,BrokenTower,Place,,place
IsA,SilentCreek,Place,,place
IsA,AncientOak,Place,,place
IsA,FallenBridge,Place,,place
IsA,OldCamp,Place,,place
IsDangerous,WhisperingForest,,,
IsDangerous,OldRuins,,,
IsDangerous,BrokenTower,,,
At,Wolf,WhisperingForest,,
At,Goblin,OldRuins,,
IsDangerous,Wolf,,,
IsDangerous,Goblin,,,
IsA,Robert,Human,,
IsA,Robert,Outsider,,
At,Robert,ForestClearing,,
IsFeeling,Robert,Confused,,
IsFeeling,Robert,Disoriented,,
HasMana,Robert,VeryLowMana,,
IsA,TruckAccident,Event,,
Causes,TruckAccident,RobertArrival,,
HappensAt,TruckAccident,EarthTime,,
IsA,Aeris,Spirit,,
IsA,Aeris,Guide,,
Guides,Aeris,Robert,,
Believes,Aeris,RobertIsNewArrival,,
Teaches,Aeris,Robert,ManaAwareness,
Learns,Robert,ManaAwareness,,
HasSkill,Robert,ManaAwareness,,
SkillLevel,Robert,ManaAwareness,Level1,
ExperimentsWith,Robert,ManaFlow,,
Discovers,Robert,SparkIgnition,,
HasSpell,Robert,SparkIgnition,,
Believes,Aeris,WhisperingForestIsDangerous,,
Believes,Aeris,ManaFlowsThroughNature,,
Believes,Aeris,OldRuinsContainMagic,,
Believes,Aeris,WolvesHuntInPacks,,
Believes,Aeris,GoblinsRaidTravelers,,
HasSkill,Robert,Observation,,
SkillLevel,Robert,Observation,Level1,
HasSkill,Robert,BasicSurvival,,
SkillLevel,Robert,BasicSurvival,Level1,
HasSkill,Robert,Curiosity,,
SkillLevel,Robert,Curiosity,Level1,
HasA,SilentCreek,FreshWater,,
HasA,AncientOak,OldMagic,,
HasA,MossyHill,GoodViewpoint,,
HasA,FallenBridge,CollapsedCrossing,,
Believes,Villagers,ForestIsHaunted,,
Believes,Travelers,StoneRoadLeadsToTown,,
Believes,Hunters,WolvesAreDangerous,,
Believes,Scholars,RuinsContainArtifacts,,
Believes,Merchants,RoadsAreSaferThanForests,,
Axiom,WorldFact79,,,
Axiom,WorldFact80,,,
Axiom,WorldFact81,,,
Axiom,WorldFact82,,,
Axiom,WorldFact83,,,
Axiom,WorldFact84,,,
Axiom,WorldFact85,,,
Axiom,WorldFact86,,,
Axiom,WorldFact87,,,
Axiom,WorldFact88,,,
Axiom,WorldFact89,,,
Axiom,WorldFact90,,,
Axiom,WorldFact91,,,
Axiom,WorldFact92,,,
Axiom,WorldFact93,,,
Axiom,WorldFact94,,,
Axiom,WorldFact95,,,
Axiom,WorldFact96,,,
Axiom,WorldFact97,,,
Axiom,WorldFact98,,,
Axiom,WorldFact99,,,
Axiom,WorldFact100,,,
Axiom,WorldFact101,,,
Axiom,WorldFact102,,,
Axiom,WorldFact103,,,
Axiom,WorldFact104,,,
Axiom,WorldFact105,,,
Axiom,WorldFact106,,,
Axiom,WorldFact107,,,
Axiom,WorldFact108,,,
Axiom,WorldFact109,,,
